MONDO:0007272 {'OMIM:115300'}
MONDO:0007273 {'OMIM:115310'}
MONDO:0007274 {'OMIM:115400'}
MONDO:0007275 {'OMIM:115430'}
MONDO:0007276 {'OMIM:115470'}
MONDO:0007277 {'OMIM:115645'}
MONDO:0007278 {'OMIM:115650'}
MONDO:0007279 {'OMIM:115660'}
MONDO:0007280 {'OMIM:115665'}
MONDO:0007281 {'OMIM:115700'}
MONDO:0007282 {'OMIM:115800'}
MONDO:0007283 {'OMIM:115900'}
MONDO:0007284 {'OMIM:116100'}
MONDO:0007285 {'OMIM:116200'}
MONDO:0007286 {'OMIM:116300'}
MONDO:0007287 {'OMIM:116400'}
MONDO:0007288 {'OMIM:116600'}
MONDO:0007289 {'OMIM:116700'}
MONDO:0007290 {'OMIM:116800'}
MONDO:0007293 {'OMIM:116920'}
MONDO:0007294 {'OMIM:117000'}
MONDO:0007295 {'OMIM:117100'}
MONDO:0007296 {'OMIM:117210'}
MONDO:0007297 {'OMIM:117300'}
MONDO:0007298 {'OMIM:117360'}
MONDO:0007299 {'OMIM:117550'}
MONDO:0007300 {'OMIM:117600'}
MONDO:0007301 {'OMIM:117650'}
MONDO:0007302 {'OMIM:117850'}
MONDO:0007303 {'OMIM:117900'}
MONDO:0007304 {'OMIM:118000'}
MONDO:0007305 {'OMIM:118005'}
MONDO:0007306 {'OMIM:118100'}
MONDO:0007307 {'OMIM:118200'}
MONDO:0007308 {'OMIM:118210'}
MONDO:0007309 {'OMIM:118220'}
MONDO:0007310 {'OMIM:118230'}
MONDO:0007311 {'OMIM:118300'}
MONDO:0007312 {'OMIM:118301'}
MONDO:0007313 {'OMIM:118330'}
MONDO:0007314 {'OMIM:118350'}
MONDO:0007315 {'OMIM:118400'}
MONDO:0007316 {'OMIM:118420'}
MONDO:0007317 {'OMIM:118430'}
MONDO:0007318 {'OMIM:118450'}
MONDO:0007319 {'OMIM:118600'}
MONDO:0007320 {'OMIM:118610'}
MONDO:0007321 {'OMIM:118650'}
